text,created_at,retweet_count,favorite_count,is_retweet,id_str
Big News: Tom Tiffany of the Great State of Wisconsin has just become Congressman Tom Tiffany. He will do a FANTASTIC job for the people of Wisconsin and the United States. Congratulations!,5/13/20 2:43,30489,151525,FALSE,1.2604E+18
"As long as other countries are receiving the benefits of Negative Rates the USA should also accept the ""GIFT"". Big numbers!",5/12/20 13:52,19683,90872,FALSE,1.26021E+18
California should let Tesla &amp; @elonmusk open the plant NOW. It can be done Fast &amp; Safely!,5/12/20 13:40,41175,288508,FALSE,1.2602E+18
"Crude Oil prices going up as Saudi Arabia cuts production levels. Our great Energy Companies with millions of JOBS are starting to look very good again. At the same time gasoline prices at record lows (like a big Tax Cut). The BEST of all Worlds. ""Transition To Greatness""",5/12/20 13:27,23075,94046,FALSE,1.2602E+18
Wisconsin please get out NOW and vote for Tom Tiffany for Congress. A great guy!,5/12/20 12:30,25712,104656,FALSE,1.26019E+18
Looking forward to being in Allentown Pennsylvania on Thursday. I love the State and for very good reason!,5/12/20 12:28,20523,103077,FALSE,1.26019E+18
Remember this every Governor who has sky high approval on their handling of the Coronavirus and I am happy for them all could in no way have gotten those numbers or had that success without me and the Federal Governments help. From Ventilators to Testing we made it happen!,5/12/20 11:56,24519,126090,FALSE,1.26018E+18
So interesting to see all of these people I beat so badly pundits &amp; consultants that never had a chance telling me how to run for office. Many are Republicans who should LOVE our 280 new Judges rebuilt Military 2A great V.A. Low Taxes etc. Just don't like that I beat them!,5/12/20 11:45,20466,86392,FALSE,1.26017E+18
Our Testing is the BEST in the World by FAR! Numbers are coming down in most parts of our Country which wants to open and get going again. It is happening safely!,5/12/20 11:35,17182,80785,FALSE,1.26017E+18
The American People are WARRIORS!,5/12/20 11:31,44480,256353,FALSE,1.26017E+18
TRANSITION TO GREATNESS,5/12/20 11:27,33146,172489,FALSE,1.26017E+18
96% APPROVAL RATING IN THE REPUBLICAN PARTY. THANK YOU! We will win against a tired exhausted man Sleepy Joe Biden in November.,5/12/20 11:25,23854,124994,FALSE,1.26017E+18
Asian Americans are VERY angry at what China has done to our Country and the World. Chinese Americans are the most angry of all. I don't blame them!,5/12/20 11:19,39167,194285,FALSE,1.26017E+18
More than all other countries together! https://t.co/VsgQu6LTkt,5/12/20 11:13,10075,41958,FALSE,1.26017E+18
Remember get out and Vote for Mike Garcia in CA25. A really big deal for our Country!,5/12/20 11:00,25213,91263,FALSE,1.26016E+18
When will they open a Cold Case on the Psycho Joe Scarborough matter in Florida. Did he get away with murder? Some people think so. Why did he leave Congress so quietly and quickly? Isn't it obvious? What's happening now? A total nut job!,5/12/20 10:54,30828,108282,FALSE,1.26016E+18
Ratings way down show sucks! https://t.co/vxSOvjbdf2,5/12/20 10:42,12307,59005,FALSE,1.26016E+18
OBAMAGATE makes Watergate look small time! https://t.co/vW19NbYXw6,5/12/20 10:33,23405,76485,FALSE,1.26016E+18
